"계정코드별",2024.05,2024.06,2024.07,2024.08,2024.09,2024.10
"총지수 (2020=100)",119.25,119.23,119.56,119.38,119.16,119.02
"쌀 (2020=100)",96.09,94.94,92.10,90.11,88.76,94.01
"보리쌀 (2020=100)",115.65,125.41,154.88,154.88,154.88,162.42
"콩 (2020=100)",101.29,101.81,101.87,101.92,101.53,101.35
"감자 (2020=100)",122.17,90.19,89.40,95.14,101.84,98.05
"고구마 (2020=100)",97.00,87.86,66.35,69.89,71.97,66.91
"배추 (2020=100)",121.66,66.53,100.16,173.28,279.00,150.39
"시금치 (2020=100)",77.00,96.93,201.16,451.50,569.84,215.72
"상추 (2020=100)",72.75,83.87,227.65,258.28,373.71,276.91
"부추 (2020=100)",63.15,51.93,56.52,154.22,104.71,106.20
"수박 (2020=100)",137.62,108.52,130.06,175.12,122.55,119.18
"참외 (2020=100)",89.57,64.38,55.28,68.89,68.89,68.89
"오이 (2020=100)",66.24,55.33,109.98,133.20,148.93,141.11
"호박 (2020=100)",64.80,53.41,79.55,112.24,136.36,143.84
"토마토 (2020=100)",113.63,83.27,79.90,101.99,154.12,191.55
"딸기 (2020=100)",86.50,86.50,86.50,86.50,86.50,86.50
"파프리카 (2020=100)",69.09,53.20,41.66,98.91,126.62,108.50
"무 (2020=100)",131.05,125.26,148.89,195.50,217.46,184.41
"풋고추 (2020=100)",72.87,61.20,85.17,82.77,98.08,106.89
"건고추 (2020=100)",111.58,111.95,112.06,111.58,111.50,110.69
"마늘 (2020=100)",128.56,129.09,131.04,133.70,134.50,134.75
"파 (2020=100)",106.62,95.70,98.17,105.50,118.75,111.03
"양파 (2020=100)",123.03,99.59,102.24,108.96,112.60,112.49
"생강 (2020=100)",100.82,98.52,95.78,94.69,97.10,74.66
"버섯 (2020=100)",116.74,111.75,112.68,118.35,141.60,120.07
"피망 (2020=100)",57.19,66.84,48.89,66.44,103.04,147.86
"양배추 (2022.12=100)",277.75,127.25,95.14,148.40,142.26,194.19
"사과 (2020=100)",199.55,196.95,176.59,176.59,134.87,122.29
"배 (2020=100)",256.36,279.26,295.21,98.48,106.42,100.24
"복숭아 (2020=100)",171.26,171.26,98.53,108.85,135.76,135.76
"포도 (2020=100)",178.00,178.00,145.58,139.70,132.93,97.41
"감귤 (2020=100)",301.72,301.72,301.72,301.72,301.72,125.15
"감 (2020=100)",183.55,183.55,183.55,183.55,183.55,129.64
"절화류 (2020=100)",143.24,90.93,95.07,118.27,141.71,158.52
"분화류 (2020=100)",103.24,96.53,103.54,102.40,116.83,124.36
"인삼 (2020=100)",110.39,110.18,110.18,106.65,102.78,92.17
"한약재료 (2020=100)",104.84,104.84,104.84,104.84,104.84,105.23
"잎담배 (2020=100)",109.97,109.97,109.97,109.97,109.97,109.97
"참깨 (2020=100)",121.39,121.56,121.38,115.88,124.01,124.09
"들깨 (2020=100)",104.95,103.96,104.18,104.14,106.77,107.20
"생우유 (2020=100)",115.90,115.47,114.80,113.32,114.03,115.70
"쇠고기 (2020=100)",74.64,72.49,75.10,83.44,92.80,87.52
"돼지고기 (2020=100)",118.75,133.53,130.37,137.57,159.78,133.07
"닭고기 (2020=100)",150.87,146.39,152.01,154.78,154.07,142.00
"오리고기 (2020=100)",93.28,84.63,84.32,86.06,85.43,82.29
"달걀 (2020=100)",148.17,148.86,147.03,146.20,152.48,149.88
"벌꿀 (2020=100)",123.37,123.37,117.37,117.37,117.37,117.37
"원목 (2020=100)",105.69,105.69,105.26,105.26,105.26,103.69
"산나물 (2020=100)",139.42,101.57,155.78,364.51,389.69,232.30
"밤 (2020=100)",126.05,126.05,126.05,126.05,107.80,106.49
"가자미 (2020=100)",52.91,101.72,99.16,82.65,99.41,106.30
"넙치 (2020=100)",127.34,141.88,146.92,144.65,152.26,163.25
"조기 (2020=100)",78.26,64.84,66.28,28.26,57.22,59.36
"갈치 (2020=100)",88.42,88.03,86.68,86.68,99.97,92.33
"고등어 (2020=100)",124.76,75.28,74.06,81.38,84.31,97.41
"우럭 (2020=100)",126.06,119.47,129.01,134.28,120.12,156.21
"기타어류 (2020=100)",92.99,102.90,125.61,99.86,84.46,85.12
"멸치 (2020=100)",187.38,169.04,164.29,153.67,137.09,137.67
"게 (2020=100)",69.28,60.50,60.21,43.71,55.67,69.15
"새우 (2020=100)",104.10,94.98,95.75,92.81,85.81,101.06
"굴 (2020=100)",116.98,116.98,116.98,116.98,116.98,123.52
"조개 (2020=100)",103.92,103.08,95.89,87.89,100.29,95.04
"전복 (2020=100)",85.80,84.93,82.32,80.34,80.54,79.09
"물오징어 (2020=100)",144.32,144.32,144.32,144.32,144.32,144.32
"냉동고등어 (2020=100)",152.54,150.87,144.10,143.81,144.29,143.19
"냉동오징어 (2020=100)",127.17,122.55,123.87,122.93,113.68,111.87
"냉동명태 (2020=100)",84.97,83.65,86.58,86.35,85.69,82.05
"명태건제품 (2020=100)",116.50,116.50,115.63,115.59,116.42,116.81
"멸치건제품 (2020=100)",99.98,99.98,97.20,94.76,92.45,93.18
"오징어건제품 (2020=100)",114.60,114.60,115.15,115.26,112.78,113.33
"김 (2020=100)",169.98,170.62,170.95,171.89,171.89,171.89
"무연탄 (2020=100)",99.79,99.79,99.79,99.79,99.79,99.79
"모래 (2020=100)",103.66,103.22,103.22,103.22,102.84,101.12
"쇄석 (2020=100)",117.66,117.66,117.66,117.66,117.02,117.02
"석회석 (2020=100)",125.55,125.55,125.26,125.26,125.26,125.26
"규석 (2020=100)",181.98,181.98,181.98,181.98,181.98,181.98
"천일염 (2020=100)",353.72,280.02,267.70,248.76,205.88,182.26
"햄및베이컨 (2020=100)",123.45,121.30,121.30,123.15,124.32,122.77
